Jahr;Nachname;Vorname;Geschlecht;Funktion;Departement;Reihenfolge;Bezirk
2026;?;?;?;Regierender Landammann;Volkswirtschaftsdepartement;1;?
2026;Koller;Angela;f;Frau stillstehender Landammann;Erziehungsdepartement;2;Schwende-Rüte
2026;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2026;Eberle;Ruedi;m;Säckelmeister;Finanzdepartement;4;Gonten
2026;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2026;Dörig;Hans;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2026;Signer;Jakob;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
2025;Dähler;Roland;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2025;Koller;Angela;f;Frau stillstehender Landammann;Erziehungsdepartement;2;Schwende-Rüte
2025;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2025;Eberle;Ruedi;m;Säckelmeister;Finanzdepartement;4;Gonten
2025;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2025;Dörig;Hans;m;Bauherr;Bau- und Umweltdepartement;6;Schwende-Rüte
2025;Signer;Jakob;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
2024;Dähler;Roland;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2024;Inauen;Roland;m;Regierender Landammann;Erziehungsdepartement;2;Schwende-Rüte
2024;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2024;Eberle;Ruedi;m;Frau Statthalter;Finanzdepartement;4;Gonten
2024;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2024;Ulmann;Ruedi;m;Bauherr;Bau- und Umweltdepartement;6;Gonten
2024;Signer;Jakob;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
2023;Dähler;Roland;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2023;Inauen;Roland;m;Regierender Landammann;Erziehungsdepartement;2;Schwende-Rüte
2023;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2023;Eberle;Ruedi;m;Säckelmeister;Finanzdepartement;4;Gonten
2023;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2023;Ulmann;Ruedi;m;Bauherr;Bau- und Umweltdepartement;6;Gonten
2023;Signer;Jakob;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
2022;Dähler;Roland;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2022;Inauen;Roland;m;Stillstehender Landammann;Erziehungsdepartement;2;Schwende-Rüte
2022;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2022;Eberle;Ruedi;m;Säckelmeister;Finanzdepartement;4;Gonten
2022;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2022;Ulmann;Ruedi;m;Bauherr;Bau- und Umweltdepartement;6;Gonten
2022;Signer;Jakob;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
2021;Dähler;Roland;m;Regierender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2021;Inauen;Roland;m;Stillstehender Landammann;Erziehungsdepartement;2;Schwende-Rüte
2021;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2021;Eberle;Ruedi;m;Säckelmeister;Finanzdepartement;4;Gonten
2021;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement;5;Schwende-Rüte
2021;Ulmann;Ruedi;m;Bauherr;Bau- und Umweltdepartement;6;Gonten
2021;Signer;Jakob;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement;7;Appenzell
2020;Dähler;Roland;m;Stillstehender Landammann;Volkswirtschaftsdepartement;1;Schwende-Rüte
2020;Inauen;Roland;m;Regierender Landammann;Erziehungsdepartement;2;Schwende-Rüte
2020;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement;3;Appenzell
2020;Eberle;Ruedi;m;Säckelmeister;Finanzdepartement;4;Gonten
