Jahr;Nachname;Vorname;Geschlecht;Funktion;Departement
2025;Koller;Angela;f;Frau stillstehender Landammann;Erziehungsdepartement
2025;Dähler;Roland;m;Regierender Landammann;Volkswirtschaftsdepartement
2025;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement
2025;Eberle;Ruedi;m;Säckelmeister;Finanzdepartement
2025;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement
2025;Dörig;Hans;m;Bauherr;Bau- und Umweltdepartement
2025;Signer;Jakob;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement
2024;Inauen;Roland;m;Regierender Landammann;Erziehungsdepartement
2024;Dähler;Roland;m;Stillstehender Landammann;Volkswirtschaftsdepartement
2024;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement
2024;Eberle;Ruedi;m;Frau Statthalter;Finanzdepartement
2024;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement
2024;Ulmann;Ruedi;m;Bauherr;Bau- und Umweltdepartement
2024;Signer;Jakob;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement
2023;Inauen;Roland;m;Regierender Landammann;Erziehungsdepartement
2023;Dähler;Roland;m;Stillstehender Landammann;Volkswirtschaftsdepartement
2023;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement
2023;Eberle;Ruedi;m;Frau Statthalter;Finanzdepartement
2023;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement
2023;Ulmann;Ruedi;m;Bauherr;Bau- und Umweltdepartement
2023;Signer;Jakob;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement
2022;Inauen;Roland;m;Stillstehender Landammann;Erziehungsdepartement
2022;Dähler;Roland;m;Regierender Landammann;Volkswirtschaftsdepartement
2022;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement
2022;Eberle;Ruedi;m;Frau Statthalter;Finanzdepartement
2022;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement
2022;Ulmann;Ruedi;m;Bauherr;Bau- und Umweltdepartement
2022;Signer;Jakob;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement
2021;Inauen;Roland;m;Stillstehender Landammann;Erziehungsdepartement
2021;Dähler;Roland;m;Regierender Landammann;Volkswirtschaftsdepartement
2021;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement
2021;Eberle;Ruedi;m;Frau Statthalter;Finanzdepartement
2021;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement
2021;Ulmann;Ruedi;m;Bauherr;Bau- und Umweltdepartement
2021;Signer;Jakob;m;Landesfähnrich;Justiz-, Polizei- und Militärdepartement
2020;Inauen;Roland;m;Regierender Landammann;Erziehungsdepartement
2020;Dähler;Roland;m;Stillstehender Landammann;Volkswirtschaftsdepartement
2020;Rüegg Bless;Monika;f;Frau Statthalter;Gesundheits- und Sozialdepartement
2020;Eberle;Ruedi;m;Frau Statthalter;Finanzdepartement
2020;Müller;Stefan;m;Landeshauptmann;Land- und Forstwirtschaftsdepartement
